Package;Indegree_01;Outdegree_01;Indegree_02;Outdegree_02;Indegree_03;Outdegree_03;Indegree_04;Outdegree_04;Indegree_05;Outdegree_05;Indegree_06;Outdegree_06;Indegree_07;Outdegree_07;Indegree_08;Outdegree_08;Indegree_09;Outdegree_09;Indegree_10;Outdegree_10;Indegree_11;Outdegree_11;Indegree_12;Outdegree_12;Indegree_13;Outdegree_13;Indegree_14;Outdegree_14;Indegree_15;Outdegree_15;Indegree_16;Outdegree_16;Indegree_17;Outdegree_17;Indegree_18;Outdegree_18;Indegree_19;Outdegree_19;Indegree_20;Outdegree_20;Indegree_21;Outdegree_21;Indegree_22;Outdegree_22;Indegree_23;Outdegree_23;Indegree_24;Outdegree_24;Indegree_25;Outdegree_25;Indegree_26;Outdegree_26;Indegree_27;Outdegree_27;Indegree_28;Outdegree_28;Indegree_29;Outdegree_29;Indegree_30;Outdegree_30;Indegree_31;Outdegree_31;Indegree_32;Outdegree_32;Indegree_33;Outdegree_33;Indegree_34;Outdegree_34;Indegree_35;Outdegree_35;Indegree_36;Outdegree_36;Indegree_37;Outdegree_37;Indegree_38;Outdegree_38;Indegree_39;Outdegree_39
bzip2;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
condition;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;25;0;24;0;24;0;25;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0;24;0
ant.util;23;86;23;86;23;86;23;86;23;86;24;86;24;86;24;86;24;86;24;86;24;86;24;86;24;86;24;92;24;92;24;92;23;92;23;92;23;92;23;92;23;92;22;93;22;93;23;92;22;93;22;93;22;93;22;93;22;93;22;93;22;93;22;93;22;93;22;93;22;93;22;93;23;92;23;92;23;95
email;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;9;1;9;1;8;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1;9;1
cvslib;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
taskdefs;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;58;31;37;32;37;32;58;31;37;32;37;32;37;32;37;32;37;32;37;32;37;32;37;32;37;32;37;32;38;32;38;32;38;32;38;32;40;32
listener;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;5;2;6;2;6;2;6;2;6;2;6
rmic;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0
ant;42;57;42;57;42;57;42;57;42;57;42;58;42;58;42;58;42;58;42;58;42;58;42;58;42;58;42;58;42;58;42;58;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;42;56;44;56;44;56;46;58
types;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;45;28;51;28;51;28;51;28;51;28;51;28;51;28;51;28;51;28;64;18;64;18;51;28;64;18;64;18;64;18;64;18;64;18;64;18;64;18;64;18;64;18;64;18;64;18;64;18;60;18;60;18;61;18
compilers;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1
